Time,FSR Reading
1748627022.7143075,717
1748627022.814583,717
1748627022.9150007,717
1748627023.0154374,716
1748627023.1157188,716
1748627023.2161634,716
1748627023.3164787,716
1748627023.416849,716
1748627023.5170705,716
1748627023.617578,716
1748627023.7179,716
1748627023.8183687,716
1748627023.9187481,715
1748627024.0191772,715
1748627024.1195035,715
1748627024.219721,715
1748627024.3202085,715
1748627024.4204948,715
1748627024.520864,715
1748627024.6213286,715
1748627024.7216156,715
1748627024.8220232,715
1748627024.9225109,715
1748627025.0227814,715
1748627025.1232443,716
1748627025.223462,716
1748627025.3239152,716
1748627025.424334,716
1748627025.524701,716
1748627025.625062,716
1748627025.7253544,717
1748627025.8257568,717
1748627025.9261508,717
1748627026.0265043,717
1748627026.1269612,717
1748627026.2272072,717
1748627026.3275337,717
1748627026.4284437,717
1748627026.5284157,717
1748627026.6286294,717
1748627026.7290635,717
1748627026.8294802,717
1748627026.9303596,717
1748627027.0303044,717
1748627027.1306305,717
1748627027.2308798,717
1748627027.3314137,717
1748627027.4317665,717
1748627027.5321717,716
1748627027.6324983,716
1748627027.732834,716
1748627027.833227,716
1748627027.933569,716
1748627028.0339916,716
1748627028.1343987,715
1748627028.2350578,715
1748627028.3350575,715
1748627028.4354043,715
1748627028.5358233,715
1748627028.6362495,715
1748627028.7370622,715
1748627028.836885,715
1748627028.9371955,715
1748627029.0375686,715
1748627029.1380346,715
1748627029.238488,715
1748627029.3387346,715
1748627029.4392273,715
1748627029.5395246,715
1748627029.6397767,715
1748627029.740536,715
1748627029.840527,715
1748627029.9409506,715
1748627030.041264,715
1748627030.1416118,716
1748627030.2420459,716
1748627030.3424726,716
1748627030.4428637,716
1748627030.543434,716
1748627030.6435678,716
1748627030.7439446,716
1748627030.8441737,716
1748627030.944613,717
1748627031.0450327,717
1748627031.1453924,717
1748627031.2457514,717
1748627031.3461292,717
1748627031.4464228,717
1748627031.5468128,717
1748627031.6472075,717
1748627031.747955,717
1748627031.8479767,717
1748627031.948464,717
1748627032.0486734,716
1748627032.1491237,716
1748627032.2495425,716
1748627032.3498805,716
1748627032.450328,716
1748627032.550536,716
1748627032.650964,715
1748627032.751442,715
1748627032.85167,715
1748627032.952024,715
1748627033.0523949,715
1748627033.1526754,715
1748627033.2532072,715
1748627033.3535416,715
1748627033.4538858,715
1748627033.5543745,715
1748627033.6546397,715
1748627033.7550385,715
1748627033.855421,715
1748627033.955824,715
1748627034.0562901,715
1748627034.1565762,715
1748627034.257065,715
1748627034.3572876,715
1748627034.4576204,715
1748627034.5579383,716
1748627034.6582942,715
1748627034.7587388,715
1748627034.8591113,716
1748627034.959477,716
1748627035.05983,716
1748627035.1602716,716
1748627035.260644,716
1748627035.3609262,716
1748627035.46126,716
1748627035.5617113,717
1748627035.6621144,717
1748627035.7624676,717
1748627035.8628266,717
1748627035.9631872,717
1748627036.0635164,717
1748627036.1639605,717
1748627036.264374,717
1748627036.3645747,717
1748627036.4649484,717
1748627036.5653312,717
1748627036.6657636,717
1748627036.766195,716
1748627036.866539,716
1748627036.9668567,716
1748627037.0673046,716
1748627037.1676524,716
1748627037.268015,715
1748627037.3683891,715
1748627037.4687023,715
1748627037.5691025,715
1748627037.6695929,715
1748627037.7698596,715
1748627037.870207,715
1748627037.9705598,715
1748627038.0710042,715
1748627038.1714776,714
1748627038.271708,715
1748627038.3721862,715
1748627038.4724438,715
1748627038.5727956,715
1748627038.6732883,715
1748627038.77359,715
1748627038.8739264,715
1748627038.9742963,715
1748627039.0746703,715
1748627039.175105,715
1748627039.27546,715
1748627039.3758755,715
1748627039.4762142,716
1748627039.57659,716
1748627039.6769812,716
1748627039.777365,716
1748627039.8775883,716
1748627039.9780817,716
1748627040.0784502,716
1748627040.178848,717
1748627040.2791784,716
1748627040.3795419,717
1748627040.479891,717
1748627040.580286,717
1748627040.6806352,717
1748627040.7811153,717
1748627040.8813112,717
1748627040.981797,717
1748627041.0821557,717
1748627041.1824434,716
1748627041.2829435,716
1748627041.38327,716
1748627041.4835932,716
1748627041.5839384,716
1748627041.6844172,716
1748627041.7848942,716
1748627041.8849943,716
1748627041.985445,716
1748627042.0857587,715
1748627042.1862643,716
1748627042.286548,716
1748627042.387208,716
1748627042.4873765,716
1748627042.5877216,716
1748627042.688084,715
1748627042.7883728,715
1748627042.8887854,715
1748627042.9891639,715
1748627043.0895367,715
1748627043.189883,715
1748627043.2902205,715
1748627043.3907108,715
1748627043.4909196,715
1748627043.591383,715
1748627043.6917202,715
1748627043.7921536,715
1748627043.8925118,715
1748627043.992946,716
1748627044.0933096,716
1748627044.1936705,716
1748627044.293886,716
1748627044.3943326,716
1748627044.49469,716
1748627044.5951593,716
1748627044.695499,716
1748627044.7958498,717
1748627044.8963444,717
1748627044.9966893,717
1748627045.0970929,717
1748627045.1973143,717
1748627045.297676,717
1748627045.3980687,717
1748627045.4984946,717
1748627045.5987735,717
1748627045.6992424,717
1748627045.799546,717
1748627045.8998907,716
1748627046.0002868,716
1748627046.1008432,716
1748627046.2010643,716
1748627046.3013883,716
1748627046.4017324,715
1748627046.5021226,715
1748627046.6024897,716
1748627046.7028365,716
1748627046.8032951,716
1748627046.9036355,715
1748627047.0039587,715
1748627047.1044147,715
1748627047.204674,715
1748627047.305059,715
1748627047.4054632,715
1748627047.5058203,715
